id,smiles,MolWt,TPSA,HBA,HBD,MolLogP,NumRotatableBonds,RingCount
V1_5_1055,C=CCc1cc(C=NN=C(N)N)c(O)c(OC)c1,248.28599999999997,106.22,6,5,0.7365999999999999,5,1
BR010359,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](OCCCCCCOCc2ccccc2)[C@@H]1O,370.442,108.61000000000001,7,4,0.580099999999999,11,2
BR020309,CC1(C)O[C@H]2O[C@@H]3CN(C(=O)/C=C/c4ccccc4)C(C)(C)O[C@@H]3[C@H]2O1,359.42200000000014,57.230000000000004,6,0,2.5397000000000007,2,4
V1_5_866,C/C=C/c1cc(OC)c2c(c1)[C@H](C)[C@@H](c1ccc(O)c(OC)c1)O2,326.3920000000001,47.92,4,1,4.679700000000005,4,3
V1_5_334,CO[C@H]1O[C@H](COC/C=C/c2ccccc2)[C@H](NC(=O)c2ccccc2)[C@H](OCc2ccccc2)[C@H]1OCc1ccccc1,593.7200000000003,75.25,7,1,6.057100000000006,14,5
V1_5_770,CC(=O)OC[C@]12CC[C@H]3[C@@H](C[C@H]4O[C@@]45[C@@H](OC(C)=O)C=CC(=O)[C@]35C)[C@@H]1CC[C@@H]2[C@H](C)[C@@H]1CC(C)=C(C)C(=O)O1,554.6800000000004,108.49999999999999,8,0,4.494500000000004,5,6
V1_5_959,CCCCN1CCN(C(=O)C=Cc2ccc(O)c(O)c2)CC1,304.3900000000001,64.01,5,2,2.0553,5,2
BR020324,CO[C@H]1O[C@H](CN=[N+]=[N-])[C@@H](OC(=O)/C=C/c2ccccc2)[C@H](OCc2ccccc2)[C@H]1OCc1ccccc1,529.5930000000003,111.98000000000002,9,0,5.464000000000006,12,4
BR020431,c1cc(NCCCN2CCOCC2)ncn1,222.29199999999997,50.28,5,1,0.6107999999999998,5,2
BR020217,NC(=S)NN=Cc1ccc[nH]1,168.22500000000002,66.19999999999999,4,4,0.18180000000000002,2,1
V1_5_856,COc1cccc(C(=O)N(O)c2ccccc2)c1O,259.26099999999997,70.0,5,2,2.436800000000001,3,2
