id,smiles,MolWt,TPSA,HBA,HBD,MolLogP,NumRotatableBonds,RingCount
NuBBE_1598_obabel_3D.mol2,CCC/C=C/c1ccc2ccccc2n1,197.281,12.89,1,0,4.048100000000003,3,2
NuBBE_366_obabel_3D.mol2,C[C@H]1[C@H](C)CC[C@]2(CO)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]43C)[C@@H]12,442.7280000000003,40.46,2,2,6.997200000000009,1,5
NuBBE_1989_obabel_3D.mol2,C=C(CC[C@@H](C)[C@H]1CC[C@@H]2[C@@H]3CC[C@@H]4[C@H](C)[C@@H](O)CC[C@]4(C)[C@@H]3CC[C@@]21C)C(C)C,414.7180000000003,20.23,1,1,7.88070000000001,5,4
NuBBE_1089_obabel_3D.mol2,COC(=O)c1ccc(/C(=C\c2ccc(OC)c(OC)c2)C(=O)O)cc1O,358.34600000000006,102.29,7,2,2.8212000000000006,6,2
NuBBE_550_obabel_3D.mol2,COc1ccc([C@H](O)[C@@H]2NC=Cc3cc4c(cc32)OCO4)cc1,311.33700000000005,59.95,5,2,2.772500000000001,3,4
NuBBE_1901_obabel_3D.mol2,COCc1ccc(C)c2c1C(=O)C[C@@H](C(C)(C)OC(C)=O)C2,304.386,52.6,4,0,3.228220000000002,4,2
NuBBE_2457_obabel_3D.mol2,COc1cc([C@H]2c3cc(OC)c(OC)cc3C[C@@H](CO)[C@@H]2CO)ccc1O,374.4330000000001,88.38000000000001,6,3,2.323000000000001,6,3
NuBBE_1655_obabel_3D.mol2,C/C(=C\CC/C(C)=C/C(=O)O)CC/C=C(\C)CC/C=C(\C)C(=O)O,334.456,74.6,4,2,5.281400000000004,11,0
NuBBE_399_obabel_3D.mol2,c1ccc(CSCc2ccccc2)cc1,214.33300000000006,0.0,0,0,4.120000000000003,4,2
NuBBE_965_obabel_3D.mol2,COc1cc(OC)c2nc3occc3c(OC)c2c1,259.26099999999997,53.72,5,0,3.006800000000001,3,3
NuBBE_2129_obabel_3D.mol2,CCCCC1CCCCC1,140.26999999999998,0.0,0,0,3.7569000000000026,3,1
NuBBE_1743_obabel_3D.mol2,C=C/C(C)=C/C/C=C(\C)CCC=C(C)C,204.35699999999994,0.0,0,0,5.201500000000005,6,0
NuBBE_84_obabel_3D.mol2,COc1cc([C@H]2O[C@@H](c3cc(OC)c(OC)c(OC)c3)[C@@H](C)[C@@H]2C)cc(OC)c1O,418.48600000000016,75.61000000000001,7,1,4.520000000000006,7,3
NuBBE_404_obabel_3D.mol2,c1ccc(CSSSCSSSCc2ccccc2)cc1,388.6950000000001,0.0,0,0,7.4035000000000055,10,2
NuBBE_967_obabel_3D.mol2,CC(C)(O)[C@@H]1CC[C@@]2(C)CCC[C@@](C)(O)[C@@H]2C1,240.38699999999994,40.46,2,2,3.1148000000000016,1,2
NuBBE_2304_obabel_3D.mol2,CC(=O)N1c2c(O)cccc2[C@@]23CCN4CCC[C@@]5(CCC[C@@]12CC5)[C@H]43,352.4780000000002,43.78000000000001,4,1,3.5675000000000026,0,7
NuBBE_113_obabel_3D.mol2,C=C[C@@H]1[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C2C(=O)OCC[C@@H]21,358.3430000000002,134.91,9,4,-1.5915999999999988,4,3
NuBBE_614_obabel_3D.mol2,CC1(C)C[C@@]2(C(=O)O)CC[C@H]3[C@@H]2[C@H]1CC[C@]3(O)CO,268.35299999999995,77.76,4,3,1.6468999999999998,2,3
NuBBE_1628_obabel_3D.mol2,COC(=O)C[C@@]1(C/C=C(\C)CC/C=C(\C)CCC=C(C)C)C[C@@H](O)C=CC1=O,388.5480000000001,63.6,4,1,5.235100000000006,10,1
NuBBE_51_obabel_3D.mol2,C=C/C(C)=C\C[C@]1(C)[C@H](C)[C@@H](OC(=O)CCC)[C@H](OC(C)=O)[C@@]23C(=C[C@H](OC)C[C@@H]12)[C@@H](OC(=O)CCC)O[C@H]3OC(C)=O,604.7370000000003,123.66,10,0,5.344900000000006,12,3
