id,label,smiles,split
CHEMBL439379,1,O=C(CN1C(=O)S/C(=C/c2sc(Cl)nc2Cl)C1=O)c1ccc(Cl)cc1Cl,Treino
CHEMBL5282842,0,O=C(NNC(=O)C1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,Treino
CHEMBL4103936,0,Clc1ccc2c(Nc3cccc(C4CC(c5ccccc5)=NN4c4ccccc4)c3)ccnc2c1,Treino
CHEMBL467948,1,CC(=Cc1oc(O)c(C)c1O)CC/C=C(/C)CC/C=C(/C)CCCc1ccoc1,Treino
CHEMBL4575403,0,COC(=O)c1ccc(-c2c3[nH]c4ccc(OC)cc4c3cc[n+]2Cc2ccc(C)cc2)cc1,Treino
CHEMBL5192631,1,C=CCc1ccc(OCC(=O)NC(CCCCN)C(=O)NCCCC)c(-c2ccc(OCC(=O)NC(CCCCN)C(=O)NCCCC)c(CC=C)c2)c1,Treino
CHEMBL4087952,1,C=C[C@]1(C)C[C@@H](OC(=O)CN2CCN(C(=O)CN3CCN(c4ccccc4)CC3)CC2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,Treino
CHEMBL4475969,0,CO[C@]1(C)C[C@@H](C)[C@H](O)[C@H](C)CN(C)C[C@H](COCc2cn(-c3ccc(C)cc3)nn2)OC(=O)C(C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@H]1O[C@@H]1O[C@H](C)C[C@H](N(C)C)[C@H]1O,Treino
CHEMBL2098280,1,O=C(Nc1nnc(-c2ccc(Cl)s2)o1)c1ccc(Cl)s1,Treino
CHEMBL5204713,1,C=CCc1ccc(OCC(=O)NC(CCCCN)C(=O)NCCCCCC)c(-c2ccc(OCC(=O)NC(CCCCN)C(=O)NCCCCCC)c(CC=C)c2)c1,Treino
CHEMBL4569731,1,CC(C)CCOc1ccccc1-c1ccccc1OCc1cn(C(CCCN=C(N)N)C(=O)NCc2ccccc2)nn1,Treino
CHEMBL2005417,1,COC1CC(CC2CCC(C)C(C(C)C(=O)O)O2)OC2(OC(C)(C3CCC(C)(C4OC(C5OC(O)(CO)C(C)CC5C)CC4C)O3)CC2C)C1C,Treino
CHEMBL4571796,0,CCCCCCCN(C)C(=O)CCNC(=O)C(O)C(C)(C)CO,Treino
CHEMBL1813410,0,N#Cc1ccc(COc2ccc3cc(S(=O)(=O)Nc4cc(C(=O)O)cc(C(=O)O)c4)ccc3c2)c(F)c1,Treino
CHEMBL3741927,1,CNC(=O)C1CN(c2ccc(-n3cc(-c4ccccn4)cn3)c(F)c2)C(=O)O1,Treino
CHEMBL4551232,1,CC(C)CCOc1ccc2ccccc2c1-c1c(OCc2cn(C(CCCN=C(N)N)C(=O)NCc3ccccc3)nn2)ccc2ccccc12,Treino
CHEMBL3899483,1,OC(CNCCc1c[nH]c2cc(F)ccc12)Cn1c2ccccc2c2ccccc21,Treino
CHEMBL4531528,0,C[n+]1c(/C=C/c2c[nH]c3ccccc23)cc(NCCN2CCCC2)c2ccccc21,Treino
CHEMBL4851912,0,O=C(NN=Cc1cc(I)c(O)c(I)c1)c1ccc(Br)cc1,Treino
CHEMBL222298,1,N=C(N)NCCCC(N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCCN=C(N)N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCCN=C(N)N)C(=O)NC(Cc1c[nH]c2ccccc12)C(N)=O,Treino
CHEMBL4285632,1,CCCC[n+]1nn(-c2ccc([N+](=O)[O-])cc2)c2c1C(=O)c1ccccc1C2=O,Treino
CHEMBL4174272,1,Clc1ccc2c(c1)[I+]c1ccccc1-2,Treino
CHEMBL4777763,0,CCOC(=O)c1cc(-c2sc(-c3ccc(-c4ccccc4)cc3)nc2C)[nH]n1,Treino
CHEMBL2334335,0,COc1cc(O)c(C(=O)O)c(C=Cc2ccc3ccccc3c2)c1,Treino
CHEMBL4448087,0,CCCCCCCCSC[C@H]1O[C@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](N)C[C@H]2N)[C@H](O)[C@@H](N)[C@@H]1O,Treino
CHEMBL1798027,1,CCCCc1ccc(-c2nc(C)c(/C(C)=N/N=C(N)N)s2)cc1,Treino
CHEMBL574271,0,CCCCCCC(=O)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,Treino
CHEMBL3742131,1,ClC1[C@@H](c2c[nH]c3ccccc23)c2[nH]c3ccccc3c2[C@@H]1c1c[nH]c2ccccc12,Treino
CHEMBL3740317,1,CONC(=O)C1CN(c2ccc(-n3cc(-c4ccccn4)cn3)c(F)c2)C(=O)O1,Treino
CHEMBL4461345,0,COc1ccc(-c2cn(C[C@H]3CN(C)C[C@@H](C)[C@@H](O)[C@H](C)C[C@@](C)(OC)[C@H](O[C@@H]4O[C@H](C)C[C@H](N(C)C)[C@H]4O)[C@@H](C)[C@H](O[C@H]4C[C@@](C)(OC)[C@@H](O)[C@H](C)O4)C(C)C(=O)O3)nn2)cc1,Treino
CHEMBL4850208,1,CCCOc1ccc(C#Cc2c3ccccc3[n+](C)c3ccccc23)cc1,Treino
CHEMBL3950844,1,OC(CNCCc1c[nH]c2cc(F)ccc12)Cn1c2ccc(Cl)cc2c2cc(Cl)ccc21,Treino
CHEMBL2370792,1,CCCCCCCCCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(N)=O)C(=O)NC(CCO)C(=O)NC1C(=O)NCC(=O)NC(CCCNCc2ccc(S(=O)(=O)N3CCN(c4ccccc4)CC3)cc2)C(=O)NC(CC(=O)O)C(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CO)C(=O)NC([C@H](C)CC(=O)O)C(=O)NC(CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,Treino
CHEMBL4064698,1,CN(C)CCCOC(=O)c1c2c(n3cc(Br)ccc13)C(=O)c1ncccc1C2=O,Treino
CHEMBL4878904,1,CC(C)=CCc1c(OCCC(F)(F)F)cc(/C=C/c2ccc(F)cc2)c(C(=O)O)c1O,Treino
CHEMBL5205282,1,C=C[C@]1(C)C[C@@H](OC(=O)CSc2n[nH]c(-c3ccccc3F)n2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,Treino
CHEMBL5178306,0,O=c1c2nc([N+](=O)[O-])cn2ccn1Cc1cncc(-c2ccc(OC(F)(F)F)cc2)c1,Treino
CHEMBL2206235,0,CC(=O)NCCCCC(N)C(=O)NC(CCCN=C(N)N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc1c[nH]c2ccccc12)C(N)=O,Treino
CHEMBL4878674,1,C=C[C@]1(C)C[C@@H](OC(=O)CSc2nc(N)n(C(=O)c3ccc(C(F)(F)F)cc3)n2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,Treino
CHEMBL2334661,0,O=C(O)c1c(O)cccc1CCc1ccc2ccccc2c1,Treino
CHEMBL4574906,0,Cc1ccc(C[n+]2ccc3c([nH]c4ccccc43)c2-c2ccc3c(c2)OCO3)cc1,Treino
CHEMBL4847748,0,C[n+]1c2ccccc2c(Nc2ccccc2)c2ccccc21,Treino
CHEMBL5186261,1,C=CCc1ccc(OCCC[N+](C)(C)CCCCCCCCCC)c(-c2ccc(OCCC[N+](C)(C)CCCCCCCCCC)c(CC=C)c2)c1,Treino
CHEMBL5197498,1,CCCCCNC(=O)[C@@]1(C)CCC[C@]2(C)c3cc(OC(=O)CCCNCCCCCCCCNCCCNC(=O)Oc4ccc5c(c4)[C@@]4(C)CCC[C@](C)(C(=O)NCCCCC)[C@@H]4CC5)ccc3CC[C@@H]12,Treino
CHEMBL4636024,1,CCCCCCCC(=O)C1C(=O)/C(=C/c2ccccc2)N(C(C)=O)C1=O,Treino
CHEMBL4293002,0,COC(=O)c1cc2c3ccccc3n(Cc3cccc(C(F)(F)F)c3)c2c(-c2cn(C(C)=O)c3ccccc23)n1,Treino
CHEMBL4764665,0,Cc1ccc(C2CC(COc3ccc(F)c(C(N)=O)c3F)=NO2)cc1,Treino
CHEMBL4074345,1,C=CC1=C(C)C(=O)C=C2c3ccc(O)c(C)c3CC[C@]21O,Treino
CHEMBL44183,1,CN(Cc1cc2ccccc2n1C)C(=O)C=Cc1cnc2c(c1)CCC(=O)N2,Treino
CHEMBL2370731,1,CCCCCCCCCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(N)=O)C(=O)NC(CCO)C(=O)NC1C(=O)NCC(=O)NC(CCCNC(=O)C(N)CCCN=C(C)N)C(=O)NC(CC(=O)O)C(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CO)C(=O)NC([C@H](C)CC(=O)O)C(=O)NC(CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,Treino
CHEMBL227774,1,COc1cc(N(C)CCCNC(=O)NC(CCCCN)C(=O)O)c2nc(C(C)(C)C)ccc2c1,Treino
CHEMBL4586428,0,C[n+]1c(/C=C/c2c[nH]c3ccccc23)cc(NCCN2CCOCC2)c2ccccc21,Treino
CHEMBL511870,1,Clc1ccc(Nc2nc3cc(Cl)c(Cl)cc3[nH]2)cc1Cl,Treino
CHEMBL4453896,0,CC(C)(C)c1ccc(Cn2nc(COc3ccc(F)c(C(N)=O)c3F)oc2=O)cc1,Treino
CHEMBL2370742,1,CCCCCCCCCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(N)=O)C(=O)NC(CCO)C(=O)NC1C(=O)NCC(=O)NC(CCCNC(=O)c2ccc(N)cc2)C(=O)NC(CC(=O)O)C(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CO)C(=O)NC([C@H](C)CC(=O)O)C(=O)NC(CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,Treino
CHEMBL4849707,1,COc1cc(NC(=O)CCC(=O)NCCCNCCCCCCCCCCNCCCNC(=O)CCC(=O)Nc2cc(OC)cc3cccnc23)c2ncccc2c1,Treino
CHEMBL4549306,1,CO[C@]1(C)C[C@@H](C)[C@H](O)[C@H](C)CN(C)C[C@@H](COCc2cn(-c3cccc(C(F)(F)F)c3)nn2)OC(=O)C(C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@H]1O[C@@H]1O[C@H](C)C[C@H](N(C)C)[C@H]1O,Treino
CHEMBL4870482,0,CO[C@]1(C)C[C@@H](C)[C@H](OC(=O)c2ccc([N+](=O)[O-])cc2)[C@H](C)CN(C)CCOC(=O)C(C)C(=O)C(C)[C@H]1O[C@@H]1O[C@H](C)C[C@H](N(C)C)[C@H]1OC(=O)c1ccc([N+](=O)[O-])cc1,Treino
CHEMBL5203572,0,COc1cc2c(oc(=O)c3cc([C@H](C)O)cc(OC)c32)c2c([C@H]3O[C@@H]([C@@H](C)O)[C@H](O)[C@H]3O)ccc(O)c12,Treino
CHEMBL1950096,1,CCCCCCCCNC(=O)C(Cc1ccccc1)NC(=O)C(CCCCNC(=O)C(CCCCN)NC(=O)OCc1ccccc1Cl)NC(=O)C(CCCCN)NC(=O)OCc1ccccc1Cl,Treino
CHEMBL4866250,1,CC[C@H]1OC(=O)C(C)[C@@H](OC(=O)NNC(=O)Cn2cc(-c3ccc(-c4ccccc4)cc3)nn2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@H]2OC(=O)O[C@@]21C,Treino
CHEMBL1275846,1,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(=O)c(NC(=O)C=Cc4ccccc4)c(O)oc3c2Cl)OC1(C)C,Treino
CHEMBL4127291,1,COc1cc(-c2ccccc2)cc2c3ccccc3c[n+](C)c12,Treino
CHEMBL2370749,1,CCCCCCCCCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(N)=O)C(=O)NC(CCO)C(=O)NC1C(=O)NCC(=O)NC(CCCNC(=O)C(N)Cc2cncs2)C(=O)NC(CC(=O)O)C(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CO)C(=O)NC([C@H](C)CC(=O)O)C(=O)NC(CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,Treino
CHEMBL1084758,1,CCCCC(CN(O)C=O)C(=O)N1CC=CC1C(=O)Nc1ccc(OC)cc1,Treino
CHEMBL4865742,0,Cc1ccc(C(=O)NNC(=O)c2cc(I)cc(I)c2O)cc1,Treino
CHEMBL4061765,0,CC(=O)N1N=C(c2ccccc2)CC1c1cccc(Nc2ccnc3cc(Cl)ccc23)c1,Treino
CHEMBL4849250,1,CC(C)=CCc1c(OC2CCCCCC2)cc(/C=C/c2ccc(C(F)(F)F)cc2)c(C(=O)O)c1O,Treino
CHEMBL4518084,1,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)Nc4ccc(-c5n[nH]c(=S)o5)cc4)cn1c23,Treino
CHEMBL5173500,1,CNc1nc(O)c([C@H](C)c2c[nH]c3cccc(Br)c23)o1,Treino
CHEMBL3950930,1,Oc1ccc(CCNCC(O)Cn2c3ccc(Br)cc3c3cc(Br)ccc32)cc1O,Treino
