id,smiles,MolWt,TPSA,HBA,HBD,MolLogP,NumRotatableBonds,RingCount,Lipinski
CHEMBL439379,O=C(CN1C(=O)S/C(=C/c2sc(Cl)nc2Cl)C1=O)c1ccc(Cl)cc1Cl,468.1700000000002,67.34,5,0,5.675900000000002,4,3,0
CHEMBL5282842,O=C(NNC(=O)C1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,593.5940000000004,182.62,15,4,-0.35089999999999577,6,6,0
CHEMBL4103936,Clc1ccc2c(Nc3cccc(C4CC(c5ccccc5)=NN4c4ccccc4)c3)ccnc2c1,474.9950000000001,40.52,4,1,7.987500000000006,5,6,0
CHEMBL467948,CC(=Cc1oc(O)c(C)c1O)CC/C=C(/C)CC/C=C(/C)CCCc1ccoc1,398.5430000000002,66.74000000000001,4,2,7.471420000000007,11,2,0
CHEMBL4575403,COC(=O)c1ccc(-c2c3[nH]c4ccc(OC)cc4c3cc[n+]2Cc2ccc(C)cc2)cc1,437.5190000000002,55.20000000000001,5,1,5.427520000000005,5,5,0
CHEMBL5192631,C=CCc1ccc(OCC(=O)NC(CCCCN)C(=O)NCCCC)c(-c2ccc(OCC(=O)NC(CCCCN)C(=O)NCCCC)c(CC=C)c2)c1,749.0099999999996,186.9,12,8,4.628400000000006,29,2,0
CHEMBL4087952,C=C[C@]1(C)C[C@@H](OC(=O)CN2CCN(C(=O)CN3CCN(c4ccccc4)CC3)CC2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,648.8890000000004,93.63000000000001,9,1,3.859300000000005,7,6,0
CHEMBL4475969,CO[C@]1(C)C[C@@H](C)[C@H](O)[C@H](C)CN(C)C[C@H](COCc2cn(-c3ccc(C)cc3)nn2)OC(=O)C(C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@H]1O[C@@H]1O[C@H](C)C[C@H](N(C)C)[C@H]1O,906.1720000000001,188.79,17,3,3.7473200000000078,12,5,0
CHEMBL2098280,O=C(Nc1nnc(-c2ccc(Cl)s2)o1)c1ccc(Cl)s1,346.22,68.02000000000001,5,1,4.4187,3,3,1
CHEMBL5204713,C=CCc1ccc(OCC(=O)NC(CCCCN)C(=O)NCCCCCC)c(-c2ccc(OCC(=O)NC(CCCCN)C(=O)NCCCCCC)c(CC=C)c2)c1,805.1179999999995,186.9,12,8,6.188800000000007,33,2,0
CHEMBL4569731,CC(C)CCOc1ccccc1-c1ccccc1OCc1cn(C(CCCN=C(N)N)C(=O)NCc2ccccc2)nn1,583.7370000000003,142.66999999999996,10,5,4.860100000000003,16,4,0
CHEMBL2005417,COC1CC(CC2CCC(C)C(C(C)C(=O)O)O2)OC2(OC(C)(C3CCC(C)(C4OC(C5OC(O)(CO)C(C)CC5C)CC4C)O3)CC2C)C1C,724.9730000000002,142.37,11,3,5.705600000000006,9,6,0
CHEMBL4571796,CCCCCCCN(C)C(=O)CCNC(=O)C(O)C(C)(C)CO,330.4690000000001,89.87,6,3,1.3009,12,0,1
CHEMBL1813410,N#Cc1ccc(COc2ccc3cc(S(=O)(=O)Nc4cc(C(=O)O)cc(C(=O)O)c4)ccc3c2)c(F)c1,520.4940000000003,153.79,9,3,4.626780000000003,8,4,0
CHEMBL3741927,CNC(=O)C1CN(c2ccc(-n3cc(-c4ccccn4)cn3)c(F)c2)C(=O)O1,381.36700000000013,89.35000000000001,8,1,2.1445999999999996,4,4,1
CHEMBL4551232,CC(C)CCOc1ccc2ccccc2c1-c1c(OCc2cn(C(CCCN=C(N)N)C(=O)NCc3ccccc3)nn2)ccc2ccccc12,683.8570000000003,142.66999999999996,10,5,7.166500000000007,16,6,0
CHEMBL3899483,OC(CNCCc1c[nH]c2cc(F)ccc12)Cn1c2ccccc2c2ccccc21,401.4850000000001,52.98,4,3,4.608100000000003,7,5,1
CHEMBL4531528,C[n+]1c(/C=C/c2c[nH]c3ccccc23)cc(NCCN2CCCC2)c2ccccc21,397.5460000000002,34.94,4,2,4.823700000000004,6,5,1
CHEMBL4851912,O=C(NN=Cc1cc(I)c(O)c(I)c1)c1ccc(Br)cc1,570.95,61.69,4,2,4.127800000000001,3,2,0
CHEMBL222298,N=C(N)NCCCC(N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCCN=C(N)N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCCN=C(N)N)C(=O)NC(Cc1c[nH]c2ccccc12)C(N)=O,1044.2399999999996,452.6799999999999,25,24,-1.2345300000000081,29,6,0
CHEMBL4285632,CCCC[n+]1nn(-c2ccc([N+](=O)[O-])cc2)c2c1C(=O)c1ccccc1C2=O,377.38000000000017,98.97999999999999,8,0,2.6435000000000004,5,4,1
CHEMBL4174272,Clc1ccc2c(c1)[I+]c1ccccc1-2,313.545,0.0,0,0,0.44879999999999964,0,3,1
CHEMBL4777763,CCOC(=O)c1cc(-c2sc(-c3ccc(-c4ccccc4)cc3)nc2C)[nH]n1,389.48,67.87,5,1,5.352320000000004,5,4,0
CHEMBL2334335,COc1cc(O)c(C(=O)O)c(C=Cc2ccc3ccccc3c2)c1,320.34400000000005,66.76,4,2,4.422600000000003,4,3,1
CHEMBL4448087,CCCCCCCCSC[C@H]1O[C@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](N)C[C@H]2N)[C@H](O)[C@@H](N)[C@@H]1O,612.7870000000003,262.38000000000005,14,14,-3.1899999999999893,14,3,0
CHEMBL1798027,CCCCc1ccc(-c2nc(C)c(/C(C)=N/N=C(N)N)s2)cc1,329.47299999999996,89.64999999999999,5,4,3.458520000000001,6,2,1
CHEMBL574271,CCCCCCC(=O)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,443.5190000000003,82.85,7,1,3.7927000000000026,8,4,1
CHEMBL3742131,ClC1[C@@H](c2c[nH]c3ccccc23)c2[nH]c3ccccc3c2[C@@H]1c1c[nH]c2ccccc12,421.93100000000015,47.37,3,3,7.015300000000005,2,7,0
CHEMBL3740317,CONC(=O)C1CN(c2ccc(-n3cc(-c4ccccn4)cn3)c(F)c2)C(=O)O1,397.3660000000001,98.58,9,1,2.0761999999999996,5,4,1
CHEMBL4461345,COc1ccc(-c2cn(C[C@H]3CN(C)C[C@@H](C)[C@@H](O)[C@H](C)C[C@@](C)(OC)[C@H](O[C@@H]4O[C@H](C)C[C@H](N(C)C)[C@H]4O)[C@@H](C)[C@H](O[C@H]4C[C@@](C)(OC)[C@@H](O)[C@H](C)O4)C(C)C(=O)O3)nn2)cc1,892.1450000000002,188.78999999999996,17,3,3.6087000000000096,11,5,0
CHEMBL4850208,CCCOc1ccc(C#Cc2c3ccccc3[n+](C)c3ccccc23)cc1,352.45700000000005,13.11,2,0,5.006100000000004,3,4,0
CHEMBL3950844,OC(CNCCc1c[nH]c2cc(F)ccc12)Cn1c2ccc(Cl)cc2c2cc(Cl)ccc21,470.37500000000017,52.98,4,3,5.914900000000004,7,5,0
CHEMBL2370792,CCCCCCCCCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(N)=O)C(=O)NC(CCO)C(=O)NC1C(=O)NCC(=O)NC(CCCNCc2ccc(S(=O)(=O)N3CCN(c4ccccc4)CC3)cc2)C(=O)NC(CC(=O)O)C(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CO)C(=O)NC([C@H](C)CC(=O)O)C(=O)NC(CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,1921.1200000000006,711.58,46,24,-3.3720999999999934,41,7,0
CHEMBL4064698,CN(C)CCCOC(=O)c1c2c(n3cc(Br)ccc13)C(=O)c1ncccc1C2=O,456.29600000000016,80.98,7,0,2.9807000000000015,5,4,1
CHEMBL4878904,CC(C)=CCc1c(OCCC(F)(F)F)cc(/C=C/c2ccc(F)cc2)c(C(=O)O)c1O,438.41700000000014,66.76,4,2,6.239800000000006,8,2,0
CHEMBL5205282,C=C[C@]1(C)C[C@@H](OC(=O)CSc2n[nH]c(-c3ccccc3F)n2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,555.7160000000005,105.17,7,2,5.609400000000006,6,5,0
CHEMBL5178306,O=c1c2nc([N+](=O)[O-])cn2ccn1Cc1cncc(-c2ccc(OC(F)(F)F)cc2)c1,431.3300000000001,104.56,9,0,3.413100000000002,5,4,1
